Index,Wert
2085,21.0
2086,35.0
2087,26.0
2088,28.0
2089,25.0
2090,20.0
2091,17.0
2092,18.0
2093,14.0
2094,39.0
2095,43.0
2096,42.0
2097,38.0
2098,30.0
2099,32.0
2100,24.0
2101,30.0
2102,35.0
2103,40.0
2104,34.0
2105,24.0
2106,24.0
2107,15.0
2108,35.0
2109,32.0
2110,31.0
2111,34.0
2112,31.0
2113,48.0
2114,40.0
2115,30.0
2116,36.0
2117,45.0
2118,39.0
2119,42.0
2120,41.0
2121,32.0
2122,25.0
2123,39.0
2124,32.0
2125,23.0
2126,24.0
2127,36.0
2128,27.0
2129,27.0
2130,28.0
2131,20.0
2132,21.0
2133,38.0
2134,39.0
2135,33.0
2136,30.0
2137,32.0
